Claim,Claim Count,Issues
against Donald Trump's agenda; against genocide in Gaza; for Palestinian liberation; against white supremacy; against deportations of immigrants; against imperialism,0,"Gaza, Immigration"
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against anti-Black racism; for immigrants' rights,0,"Immigration, Racial Justice"
in commemoration of Martin Luther King Jr. Day; for civil rights; for DEI; for racial justice; against the rollback of DEI in Utah public universities,0,Racial Justice
for divesting University of California San Diego from Israel; against genocide in Gaza; against punishment of pro-Palestinian student protesters; for Palestinian liberation,0,Gaza
in commemoration of Martin Luther King Jr. Day; against Donald Trump's inauguration; for immigrant rights; for civil rights,0,Immigration
against Donald Trump's agenda; for immigrants' rights; for extension of DACA and TPS; for women's rights; for reproductive rights; for LGBTQ+ rights,0,"Abortion, Immigration, LGBTplus"
against Donald Trump's agenda; for immigrants' rights; for women's rights; for LGBTQ+ rights; against police brutality; for community control over police; for Palestinian liberation,0,"Abortion, Gaza, Immigration, LGBTplus, Racial Justice"
in commemoration of Martin Luther King Jr. Day; against Project 2025; against injustice; against war and militarism and genocide; against fascism; against Donald Trump; against attacks on migrants and workers and women and LGBTQIA+ people,0,"Immigration, LGBTplus, Workers"
for remembering the animals in unsanitary conditions at Marlin Animal Center; for justice for the Marlin dogs; against animal abuse,0,
against Donald Trump's inauguration as U.S. president; for immigrants' rights; for women's rights; for reproductive rights; for arms embargo on Israel; for Palestinian liberation; against attacks on trans people; against repression of student protests; for climate action; for ending use of fossil fuels; for full employment; for housing for all,0,"Abortion, Environment, Gaza, Immigration, LGBTplus"
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center; for freeing all detained migrants; for abolishing ICE,0,Immigration
in commemoration of Martin Luther King Jr. Day; in remembrance of Reverend C.K. Steele,0,
against Donald Trump's agenda; for police accountability; against racism; for reproductive rights; for women's rights; for immigrants' rights; for LGBTQ+ rights,0,"Abortion, LGBTplus, Racial Justice"
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against police brutality; against racism; against immigrant deportations; for LGBTQ+ rights; in support of public sector labor unions; for women's rights; for reproductive rights,0,"Abortion, LGBTplus, Racial Justice, Workers"
against Donald Trump's inauguration as U.S. president; against fascism,0,Trump
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for fair wages; against racism; for climate activism; for access to food; for democracy; for access to housing for homeless people; for Palestinian liberation; for Indigenous peoples' rights,0,"Abortion, Environment, Gaza, LGBTplus, Racial Justice, Workers"
in commemoration of Martin Luther King Jr. Day; against Donald Trump's agenda; against racism; for Palestinian liberation; for immigrants' rights; for LGBTQ+ rights; for police accountability; for environmental justice; for housing justice; for workers' rights,0,"Environment, Gaza, LGBTplus, Racial Justice, Workers"
for permanent ceasefire in Gaza; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; against police brutality; for community control of police; for immigrants' rights; for legalization for all undocumented immigrants; for Palestinian liberation; for ending U.S. aid to Israel; for workers' rights; for women's rights; for LGBTQ+ rights; for reproductive rights,0,"Abortion, Gaza, Immigration, LGBTplus, Racial Justice, Workers"
in commemoration of Martin Luther King Jr. Day; against poverty; against racism; against fascism; against militarism; against imperialism; for Black self-determination,0,Racial Justice
against Donald Trump's agenda; against white supremacy; against U.S. imperialism; against capitalism; against genocide in Gaza,0,Gaza
for ceasefire in Gaza; for peace; for Palestinian liberation,0,Gaza
for arms embargo on Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against inviting Former Israeli Prime Minister Naftali Bennett to speak at a Yale University event; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Fox News; against Donald Trump; for democracy,0,Trump
against Columbia University's repression of pro-Palestine student protest; for divesting Columbia University from Israel; for reinstating students suspended for their participation in Columbia's Gaza Solidarity Encampment; against genocide in Gaza; for Palestinian liberation,0,Gaza
against pro-Palestine demonstration; in solidarity with Israel,0,Gaza
for ceasefire in Gaza; for Palestinian liberation; against Israel,0,Gaza
in remembrance of Palestinians killed in Gaza; against Zionism; for divesting University of Oklahoma from Israel; for Palestinian liberation,0,Gaza
for dropping charges against pro-Palestine student protesters arrested at Arizona State University; for divesting Arizona State University from Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against inauguration of Donald Trump as U.S. president; against fascism; for health care; for housing; for education; against war; against repression; against genocide,0,Healthcare
in remembrance of Palestinians killed in Gaza; for Palestinian liberation,0,Gaza
in remembrance of migrants killed trying to enter the United States; for Catholic values,0,Immigration
for state legislation to save and restore the Great Salt Lake; for environmental conservation,0,Environment
for Palestinian liberation; against the inauguration of President Donald Trump; in solidarity with Palestinians following the ceasefire agreement in Gaza; for UC San Diego divesting from Israel; against Palestinian gencide; for free speech,0,Gaza
in commemoration of Martin Luther King Jr. Day; for justice; for equality,0,
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism; for DC statehood,0,"Environment, Gaza, Immigration, Workers"
in commemoration of Martin Luther King Jr. Day; for DEI; for womenÃÂ¢ÃÂÃÂs rights; for LGBTQ rights; for immigration rights; for civil rights,0,"Immigration, LGBTplus"
against Proud Boys; against fascism,0,
for Palestinian liberation; for collective safety and liberation for all; for religious values,0,Gaza
in commemoration of Martin Luther King Jr. Day; for unity,0,
against Donald Trump's presidency; in remembrance of Tortuguita; against fascism; for Palestinian liberation; against imperialism,0,Gaza
against genocide in Gaza; against Israel's attacks on Lebanon; for Palestinian liberation,0,Gaza
for justice for Ahmaud Arbery; against white supremacy; against racial bias in the criminal justice system,0,
